season.id,player.id,game.id,game.date,matchup,wl,min,fgm,fga,fg.pct,fg3m,fg3a,fg3.pct,ftm,fta,ft.pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus.minus,video.available,win,location.home,id.team.player,id.team.opponent,id.season,season
22009,201939,0020900015,2009-10-28T00:00:00Z,GSW vs. HOU,L,36,7,12,0.583,0,1,0,0,0,0,1,1,2,7,4,0,2,2,14,7,0,FALSE,TRUE,GSW,HOU,2009-10,2010
22009,201939,0020900030,2009-10-30T00:00:00Z,GSW @ PHX,L,39,5,9,0.556,2,3,0.667,0,0,0,0,2,2,4,1,0,3,5,12,-19,0,FALSE,FALSE,GSW,PHX,2009-10,2010
22009,201939,0020900069,2009-11-04T00:00:00Z,GSW vs. MEM,W,28,3,6,0.5,1,2,0.5,0,0,0,0,5,5,9,2,0,1,4,7,-4,0,TRUE,TRUE,GSW,MEM,2009-10,2010
22009,201939,0020900082,2009-11-06T00:00:00Z,GSW vs. LAC,L,22,1,5,0.2,0,1,0,3,4,0.75,0,1,1,3,0,0,0,6,5,-13,0,FALSE,TRUE,GSW,LAC,2009-10,2010
22009,201939,0020900096,2009-11-08T00:00:00Z,GSW @ SAC,L,31,4,8,0.5,1,2,0.5,0,2,0,1,3,4,6,0,0,5,4,9,-5,0,FALSE,FALSE,GSW,SAC,2009-10,2010
22009,201939,0020900101,2009-11-09T00:00:00Z,GSW vs. MIN,W,30,2,8,0.25,1,2,0.5,3,4,0.75,0,2,2,5,1,0,2,1,8,28,0,TRUE,TRUE,GSW,MIN,2009-10,2010
22009,201939,0020900109,2009-11-11T00:00:00Z,GSW @ IND,L,21,3,7,0.429,0,2,0,0,0,0,0,1,1,4,1,0,3,2,6,-13,0,FALSE,FALSE,GSW,IND,2009-10,2010
22009,201939,0020900126,2009-11-13T00:00:00Z,GSW @ NYK,W,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,TRUE,FALSE,GSW,NYK,2009-10,2010
22009,201939,0020900141,2009-11-14T00:00:00Z,GSW @ MIL,L,26,6,9,0.667,2,2,1,0,0,0,1,3,4,2,2,1,1,5,14,2,0,FALSE,FALSE,GSW,MIL,2009-10,2010
22009,201939,0020900150,2009-11-17T00:00:00Z,GSW @ CLE,L,41,6,10,0.6,2,6,0.333,0,1,0,0,5,5,7,0,0,3,2,14,-4,0,FALSE,FALSE,GSW,CLE,2009-10,2010
22009,201939,0020900163,2009-11-18T00:00:00Z,GSW @ BOS,L,35,4,10,0.4,1,4,0.25,4,4,1,0,0,0,7,4,0,6,3,13,5,0,FALSE,FALSE,GSW,BOS,2009-10,2010
22009,201939,0020900181,2009-11-20T00:00:00Z,GSW vs. POR,W,46,3,9,0.333,2,3,0.667,4,5,0.8,0,6,6,8,1,1,1,6,12,18,0,TRUE,TRUE,GSW,POR,2009-10,2010
22009,201939,0020900204,2009-11-24T00:00:00Z,GSW @ DAL,W,35,6,12,0.5,2,4,0.5,4,4,1,1,3,4,6,3,0,4,5,18,16,0,TRUE,FALSE,GSW,DAL,2009-10,2010
22009,201939,0020900216,2009-11-25T00:00:00Z,GSW @ SAS,L,34,5,16,0.313,1,4,0.25,0,0,0,1,6,7,5,1,2,6,3,11,-7,0,FALSE,FALSE,GSW,SAS,2009-10,2010
22009,201939,0020900238,2009-11-28T00:00:00Z,GSW vs. LAL,L,36,5,15,0.333,1,5,0.2,2,2,1,1,3,4,8,0,0,1,0,13,-23,0,FALSE,TRUE,GSW,LAL,2009-10,2010
22009,201939,0020900252,2009-11-30T00:00:00Z,GSW vs. IND,W,20,2,5,0.4,1,2,0.5,2,2,1,0,2,2,4,3,0,2,2,7,-7,0,TRUE,TRUE,GSW,IND,2009-10,2010
22009,201939,0020900256,2009-12-01T00:00:00Z,GSW @ DEN,L,41,4,14,0.286,2,6,0.333,0,0,0,1,3,4,6,2,2,1,2,10,-14,0,FALSE,FALSE,GSW,DEN,2009-10,2010
22009,201939,0020900271,2009-12-03T00:00:00Z,GSW vs. HOU,L,32,4,8,0.5,1,3,0.333,2,2,1,1,4,5,2,2,1,4,3,11,-3,0,FALSE,TRUE,GSW,HOU,2009-10,2010
22009,201939,0020900289,2009-12-05T00:00:00Z,GSW vs. ORL,L,46,6,12,0.5,0,2,0,1,1,1,0,3,3,3,1,0,3,4,13,-8,0,FALSE,TRUE,GSW,ORL,2009-10,2010
22009,201939,0020900298,2009-12-07T00:00:00Z,GSW @ OKC,L,36,9,14,0.643,2,4,0.5,2,2,1,0,4,4,2,4,0,5,5,22,-17,0,FALSE,FALSE,GSW,OKC,2009-10,2010
22009,201939,0020900311,2009-12-09T00:00:00Z,GSW @ NJN,W,30,6,13,0.462,1,4,0.25,1,2,0.5,1,3,4,4,3,0,4,4,14,7,0,TRUE,FALSE,GSW,NJN,2009-10,2010
22009,201939,0020900324,2009-12-11T00:00:00Z,GSW @ CHI,L,27,3,9,0.333,0,3,0,0,0,0,0,3,3,1,1,0,0,0,6,-8,0,FALSE,FALSE,GSW,CHI,2009-10,2010
22009,201939,0020900332,2009-12-12T00:00:00Z,GSW @ DET,L,38,5,10,0.5,3,4,0.75,6,6,1,0,2,2,4,4,1,4,4,19,-11,0,FALSE,FALSE,GSW,DET,2009-10,2010
22009,201939,0020900345,2009-12-14T00:00:00Z,GSW @ PHI,L,36,5,13,0.385,1,4,0.25,3,4,0.75,0,4,4,4,4,1,4,5,14,-14,0,FALSE,FALSE,GSW,PHI,2009-10,2010
22009,201939,0020900369,2009-12-16T00:00:00Z,GSW vs. SAS,L,25,4,11,0.364,0,2,0,0,0,0,1,3,4,3,4,0,1,5,8,-12,0,FALSE,TRUE,GSW,SAS,2009-10,2010
22009,201939,0020900383,2009-12-18T00:00:00Z,GSW vs. WAS,L,46,9,17,0.529,5,9,0.556,4,4,1,1,7,8,4,3,0,2,4,27,-10,0,FALSE,TRUE,GSW,WAS,2009-10,2010
22009,201939,0020900409,2009-12-22T00:00:00Z,GSW @ MEM,L,41,6,15,0.4,2,6,0.333,0,0,0,1,6,7,8,0,0,4,2,14,-3,0,FALSE,FALSE,GSW,MEM,2009-10,2010
22009,201939,0020900419,2009-12-23T00:00:00Z,GSW @ NOH,L,47,6,13,0.462,3,5,0.6,2,2,1,0,10,10,7,2,0,2,5,17,-1,0,FALSE,FALSE,GSW,NOH,2009-10,2010
22009,201939,0020900438,2009-12-26T00:00:00Z,GSW vs. PHX,W,27,4,10,0.4,3,4,0.75,2,2,1,1,2,3,4,3,0,1,4,13,6,0,TRUE,TRUE,GSW,PHX,2009-10,2010
22009,201939,0020900451,2009-12-28T00:00:00Z,GSW vs. BOS,W,11,0,4,0,0,1,0,0,1,0,0,2,2,0,1,0,1,3,0,-16,0,TRUE,TRUE,GSW,BOS,2009-10,2010
22009,201939,0020900458,2009-12-29T00:00:00Z,GSW @ LAL,L,23,6,10,0.6,0,1,0,3,3,1,1,2,3,3,0,0,4,3,15,-7,0,FALSE,FALSE,GSW,LAL,2009-10,2010
22009,201939,0020900487,2010-01-02T00:00:00Z,GSW @ POR,L,29,4,10,0.4,1,2,0.5,0,0,0,0,1,1,1,1,0,3,4,9,-6,0,FALSE,FALSE,GSW,POR,2009-10,2010
22009,201939,0020900503,2010-01-05T00:00:00Z,GSW @ DEN,L,40,10,13,0.769,6,6,1,0,0,0,0,5,5,6,3,0,2,3,26,-1,0,FALSE,FALSE,GSW,DEN,2009-10,2010
22009,201939,0020900511,2010-01-06T00:00:00Z,GSW @ MIN,W,30,7,11,0.636,0,2,0,2,2,1,0,1,1,4,2,0,1,6,16,11,0,TRUE,FALSE,GSW,MIN,2009-10,2010
22009,201939,0020900529,2010-01-08T00:00:00Z,GSW vs. SAC,W,34,5,10,0.5,1,2,0.5,1,2,0.5,0,3,3,4,1,0,2,3,12,5,0,TRUE,TRUE,GSW,SAC,2009-10,2010
22009,201939,0020900552,2010-01-11T00:00:00Z,GSW vs. CLE,L,36,8,15,0.533,1,2,0.5,4,5,0.8,0,7,7,5,1,1,2,4,21,1,0,FALSE,TRUE,GSW,CLE,2009-10,2010
22009,201939,0020900568,2010-01-13T00:00:00Z,GSW vs. MIA,L,33,3,10,0.3,3,5,0.6,0,0,0,1,3,4,4,0,0,4,1,9,-12,0,FALSE,TRUE,GSW,MIA,2009-10,2010
22009,201939,0020900581,2010-01-15T00:00:00Z,GSW vs. MIL,L,48,7,17,0.412,1,4,0.25,3,3,1,0,6,6,4,6,1,4,6,18,-9,0,FALSE,TRUE,GSW,MIL,2009-10,2010
22009,201939,0020900602,2010-01-18T00:00:00Z,GSW vs. CHI,W,43,9,18,0.5,5,8,0.625,3,3,1,2,8,10,6,1,1,5,4,26,21,0,TRUE,TRUE,GSW,CHI,2009-10,2010
22009,201939,0020900619,2010-01-20T00:00:00Z,GSW vs. DEN,L,49,6,17,0.353,3,8,0.375,0,0,0,0,3,3,6,1,0,3,2,15,-2,0,FALSE,TRUE,GSW,DEN,2009-10,2010
22009,201939,0020900634,2010-01-22T00:00:00Z,GSW vs. NJN,W,48,11,21,0.524,3,7,0.429,7,8,0.875,0,2,2,7,4,0,2,4,32,32,0,TRUE,TRUE,GSW,NJN,2009-10,2010
22009,201939,0020900644,2010-01-23T00:00:00Z,GSW @ PHX,L,40,10,25,0.4,4,9,0.444,1,1,1,0,5,5,2,0,0,1,4,25,-10,0,FALSE,FALSE,GSW,PHX,2009-10,2010
22009,201939,0020900662,2010-01-26T00:00:00Z,GSW @ SAC,L,45,10,22,0.455,3,10,0.3,4,5,0.8,1,8,9,6,3,0,1,3,27,9,0,FALSE,FALSE,GSW,SAC,2009-10,2010
22009,201939,0020900673,2010-01-27T00:00:00Z,GSW vs. NOH,L,41,7,13,0.538,1,3,0.333,0,0,0,0,5,5,8,3,0,5,4,15,-5,0,FALSE,TRUE,GSW,NOH,2009-10,2010
22009,201939,0020900688,2010-01-29T00:00:00Z,GSW vs. CHA,L,41,8,15,0.533,2,4,0.5,4,4,1,0,1,1,9,3,0,1,3,22,0,0,FALSE,TRUE,GSW,CHA,2009-10,2010
22009,201939,0020900703,2010-01-31T00:00:00Z,GSW @ OKC,L,36,4,10,0.4,2,2,1,4,4,1,2,2,4,5,1,0,5,2,14,-18,0,FALSE,FALSE,GSW,OKC,2009-10,2010
22009,201939,0020900717,2010-02-02T00:00:00Z,GSW @ HOU,L,30,6,18,0.333,2,5,0.4,0,0,0,1,1,2,4,1,0,0,1,14,-22,0,FALSE,FALSE,GSW,HOU,2009-10,2010
22009,201939,0020900724,2010-02-03T00:00:00Z,GSW @ DAL,L,27,1,6,0.167,0,2,0,4,4,1,0,0,0,3,0,0,3,2,6,-8,0,FALSE,FALSE,GSW,DAL,2009-10,2010
22009,201939,0020900751,2010-02-06T00:00:00Z,GSW vs. OKC,L,27,9,15,0.6,3,7,0.429,2,3,0.667,0,1,1,4,2,0,3,3,23,2,0,FALSE,TRUE,GSW,OKC,2009-10,2010
22009,201939,0020900756,2010-02-08T00:00:00Z,GSW vs. DAL,L,48,9,20,0.45,1,5,0.2,6,6,1,0,2,2,9,2,0,3,4,25,-10,0,FALSE,TRUE,GSW,DAL,2009-10,2010
22009,201939,0020900778,2010-02-10T00:00:00Z,GSW vs. LAC,W,46,11,22,0.5,7,11,0.636,7,8,0.875,0,10,10,13,3,0,6,4,36,35,0,TRUE,TRUE,GSW,LAC,2009-10,2010
22009,201939,0020900790,2010-02-16T00:00:00Z,GSW @ LAL,L,44,5,21,0.238,1,10,0.1,0,0,0,0,10,10,8,1,0,4,5,11,-4,0,FALSE,FALSE,GSW,LAL,2009-10,2010
22009,201939,0020900800,2010-02-17T00:00:00Z,GSW vs. SAC,W,40,10,15,0.667,1,4,0.25,3,3,1,1,5,6,15,3,0,3,2,24,36,0,TRUE,TRUE,GSW,SAC,2009-10,2010
22009,201939,0020900814,2010-02-19T00:00:00Z,GSW vs. UTA,L,39,4,9,0.444,3,6,0.5,2,2,1,1,5,6,7,3,0,10,1,13,0,0,FALSE,TRUE,GSW,UTA,2009-10,2010
22009,201939,0020900829,2010-02-21T00:00:00Z,GSW vs. ATL,W,45,13,18,0.722,1,3,0.333,5,5,1,2,7,9,3,1,0,5,3,32,5,0,TRUE,TRUE,GSW,ATL,2009-10,2010
22009,201939,0020900844,2010-02-23T00:00:00Z,GSW vs. PHI,L,38,8,22,0.364,1,8,0.125,0,1,0,1,5,6,5,0,0,2,2,17,-17,0,FALSE,TRUE,GSW,PHI,2009-10,2010
22009,201939,0020900858,2010-02-25T00:00:00Z,GSW vs. DEN,L,42,11,19,0.579,2,5,0.4,6,6,1,1,6,7,13,2,1,2,1,30,-24,0,FALSE,TRUE,GSW,DEN,2009-10,2010
22009,201939,0020900877,2010-02-27T00:00:00Z,GSW vs. DET,W,48,11,25,0.44,3,6,0.5,2,3,0.667,1,4,5,4,1,0,5,4,27,7,0,TRUE,TRUE,GSW,DET,2009-10,2010
22009,201939,0020900896,2010-03-02T00:00:00Z,GSW @ MIA,L,43,7,17,0.412,3,8,0.375,1,1,1,0,2,2,8,2,0,3,5,18,1,0,FALSE,FALSE,GSW,MIA,2009-10,2010
22009,201939,0020900900,2010-03-03T00:00:00Z,GSW @ ORL,L,32,3,12,0.25,1,2,0.5,2,2,1,0,3,3,7,2,0,5,2,9,-25,0,FALSE,FALSE,GSW,ORL,2009-10,2010
22009,201939,0020900919,2010-03-05T00:00:00Z,GSW @ ATL,L,48,11,19,0.579,5,9,0.556,4,4,1,1,4,5,11,2,0,7,1,31,-5,0,FALSE,FALSE,GSW,ATL,2009-10,2010
22009,201939,0020900925,2010-03-06T00:00:00Z,GSW @ CHA,L,48,8,23,0.348,4,8,0.5,5,6,0.833,2,3,5,4,0,0,3,1,25,-11,0,FALSE,FALSE,GSW,CHA,2009-10,2010
22009,201939,0020900944,2010-03-08T00:00:00Z,GSW @ NOH,L,34,5,13,0.385,2,4,0.5,0,0,0,0,3,3,6,1,0,4,2,12,-14,0,FALSE,FALSE,GSW,NOH,2009-10,2010
22009,201939,0020900963,2010-03-11T00:00:00Z,GSW vs. POR,L,33,6,15,0.4,2,7,0.286,1,1,1,2,3,5,3,2,0,4,5,15,-10,0,FALSE,TRUE,GSW,POR,2009-10,2010
22009,201939,0020900982,2010-03-13T00:00:00Z,GSW vs. TOR,W,42,13,21,0.619,5,8,0.625,4,4,1,2,4,6,10,4,1,2,1,35,6,0,TRUE,TRUE,GSW,TOR,2009-10,2010
22009,201939,0020900995,2010-03-15T00:00:00Z,GSW vs. LAL,L,34,11,19,0.579,5,9,0.556,2,2,1,0,5,5,9,1,0,0,4,29,-8,0,FALSE,TRUE,GSW,LAL,2009-10,2010
22009,201939,0020901032,2010-03-20T00:00:00Z,GSW @ MEM,L,25,4,10,0.4,1,3,0.333,0,0,0,0,4,4,6,0,1,2,2,9,-4,0,FALSE,FALSE,GSW,MEM,2009-10,2010
22009,201939,0020901052,2010-03-22T00:00:00Z,GSW vs. PHX,L,34,6,15,0.4,2,5,0.4,0,0,0,1,3,4,8,4,0,1,4,14,-8,0,FALSE,TRUE,GSW,PHX,2009-10,2010
22009,201939,0020901067,2010-03-24T00:00:00Z,GSW vs. MEM,W,40,12,19,0.632,4,6,0.667,2,2,1,1,4,5,11,4,0,7,3,30,27,0,TRUE,TRUE,GSW,MEM,2009-10,2010
22009,201939,0020901086,2010-03-27T00:00:00Z,GSW vs. DAL,L,37,6,16,0.375,3,5,0.6,2,2,1,0,7,7,6,2,0,7,1,17,-5,0,FALSE,TRUE,GSW,DAL,2009-10,2010
22009,201939,0020901096,2010-03-28T00:00:00Z,GSW @ LAC,W,40,8,15,0.533,2,2,1,0,0,0,1,3,4,7,1,0,3,5,18,17,0,TRUE,FALSE,GSW,LAC,2009-10,2010
22009,201939,0020901119,2010-03-31T00:00:00Z,GSW @ UTA,L,34,6,16,0.375,1,4,0.25,2,3,0.667,1,1,2,6,0,0,4,5,15,-14,0,FALSE,FALSE,GSW,UTA,2009-10,2010
22009,201939,0020901130,2010-04-02T00:00:00Z,GSW vs. NYK,W,29,7,21,0.333,1,5,0.2,0,0,0,1,3,4,10,1,0,2,1,15,-4,0,TRUE,TRUE,GSW,NYK,2009-10,2010
22009,201939,0020901145,2010-04-04T00:00:00Z,GSW @ TOR,W,44,10,23,0.435,5,11,0.455,4,6,0.667,1,7,8,12,3,2,5,4,29,5,0,TRUE,FALSE,GSW,TOR,2009-10,2010
22009,201939,0020901152,2010-04-06T00:00:00Z,GSW @ WAS,L,33,10,21,0.476,3,6,0.5,4,4,1,0,1,1,4,2,0,2,2,27,-21,0,FALSE,FALSE,GSW,WAS,2009-10,2010
22009,201939,0020901163,2010-04-07T00:00:00Z,GSW @ MIN,W,44,12,22,0.545,3,5,0.6,0,0,0,2,6,8,14,7,0,4,4,27,5,0,TRUE,FALSE,GSW,MIN,2009-10,2010
22009,201939,0020901194,2010-04-10T00:00:00Z,GSW @ LAC,L,41,10,19,0.526,5,10,0.5,4,4,1,0,9,9,4,3,0,3,5,29,0,0,FALSE,FALSE,GSW,LAC,2009-10,2010
22009,201939,0020901200,2010-04-11T00:00:00Z,GSW vs. OKC,W,35,9,16,0.563,3,6,0.5,4,6,0.667,1,6,7,7,1,0,4,2,25,3,0,TRUE,TRUE,GSW,OKC,2009-10,2010
22009,201939,0020901214,2010-04-13T00:00:00Z,GSW vs. UTA,L,41,5,15,0.333,1,4,0.25,6,6,1,1,4,5,6,2,0,2,4,17,-14,0,FALSE,TRUE,GSW,UTA,2009-10,2010
22009,201939,0020901229,2010-04-14T00:00:00Z,GSW @ POR,W,48,13,25,0.52,4,6,0.667,12,12,1,3,6,9,8,2,1,2,0,42,6,0,TRUE,FALSE,GSW,POR,2009-10,2010
22010,201939,0021000015,2010-10-27T00:00:00Z,GSW vs. HOU,W,39,9,16,0.563,3,6,0.5,4,4,1,1,1,2,11,0,1,5,4,25,4,0,TRUE,TRUE,GSW,HOU,2010-11,2011
22010,201939,0021000029,2010-10-29T00:00:00Z,GSW vs. LAC,W,27,7,9,0.778,1,3,0.333,1,3,0.333,0,2,2,6,2,0,2,2,16,17,0,TRUE,TRUE,GSW,LAC,2010-11,2011
22010,201939,0021000078,2010-11-05T00:00:00Z,GSW vs. UTA,W,33,7,17,0.412,1,4,0.25,5,5,1,0,1,1,6,2,0,5,5,20,8,0,TRUE,TRUE,GSW,UTA,2010-11,2011
22010,201939,0021000091,2010-11-07T00:00:00Z,GSW @ DET,L,29,3,12,0.25,0,3,0,4,4,1,1,3,4,6,2,0,2,4,10,-3,0,FALSE,FALSE,GSW,DET,2010-11,2011
22010,201939,0021000097,2010-11-08T00:00:00Z,GSW @ TOR,W,36,12,21,0.571,2,4,0.5,8,8,1,2,3,5,4,3,0,5,2,34,13,0,TRUE,FALSE,GSW,TOR,2010-11,2011
22010,201939,0021000113,2010-11-10T00:00:00Z,GSW @ NYK,W,45,11,20,0.55,1,1,1,2,3,0.667,0,6,6,8,2,1,2,4,25,6,0,TRUE,FALSE,GSW,NYK,2010-11,2011
22010,201939,0021000119,2010-11-11T00:00:00Z,GSW @ CHI,L,31,7,18,0.389,2,5,0.4,1,2,0.5,0,3,3,6,5,0,5,2,17,-13,0,FALSE,FALSE,GSW,CHI,2010-11,2011
22010,201939,0021000137,2010-11-13T00:00:00Z,GSW @ MIL,L,30,3,14,0.214,0,3,0,1,2,0.5,1,1,2,4,3,1,2,5,7,-12,0,FALSE,FALSE,GSW,MIL,2010-11,2011
22010,201939,0021000149,2010-11-15T00:00:00Z,GSW vs. DET,W,30,7,14,0.5,2,3,0.667,5,5,1,0,5,5,4,2,0,3,6,21,15,0,TRUE,TRUE,GSW,DET,2010-11,2011
22010,201939,0021000181,2010-11-19T00:00:00Z,GSW vs. NYK,L,42,9,21,0.429,3,6,0.5,8,9,0.889,0,5,5,8,1,0,4,4,29,-3,0,FALSE,TRUE,GSW,NYK,2010-11,2011
22010,201939,0021000194,2010-11-21T00:00:00Z,GSW @ LAL,L,24,5,10,0.5,1,3,0.333,2,2,1,0,3,3,2,1,2,0,3,13,-26,0,FALSE,FALSE,GSW,LAL,2010-11,2011
22010,201939,0021000201,2010-11-22T00:00:00Z,GSW vs. DEN,L,41,8,21,0.381,1,6,0.167,0,0,0,1,6,7,5,3,0,2,3,17,-19,0,FALSE,TRUE,GSW,DEN,2010-11,2011
22010,201939,0021000217,2010-11-24T00:00:00Z,GSW @ HOU,L,36,8,19,0.421,0,2,0,5,5,1,0,4,4,6,4,0,1,6,21,-11,0,FALSE,FALSE,GSW,HOU,2010-11,2011
22010,201939,0021000232,2010-11-26T00:00:00Z,GSW @ MEM,L,30,8,13,0.615,4,5,0.8,6,6,1,0,2,2,4,1,0,3,5,26,-1,0,FALSE,FALSE,GSW,MEM,2010-11,2011
22010,201939,0021000238,2010-11-27T00:00:00Z,GSW @ MIN,W,28,6,10,0.6,2,3,0.667,6,7,0.857,0,3,3,7,3,0,1,5,20,16,0,TRUE,FALSE,GSW,MIN,2010-11,2011
22010,201939,0021000260,2010-11-30T00:00:00Z,GSW vs. SAS,L,40,13,22,0.591,3,6,0.5,3,3,1,1,2,3,5,1,1,5,2,32,-14,0,FALSE,TRUE,GSW,SAS,2010-11,2011
22010,201939,0021000274,2010-12-02T00:00:00Z,GSW vs. PHX,L,34,4,10,0.4,1,3,0.333,0,0,0,1,0,1,7,4,0,4,4,9,-6,0,FALSE,TRUE,GSW,PHX,2010-11,2011
22010,201939,0021000297,2010-12-05T00:00:00Z,GSW @ OKC,L,46,14,20,0.7,4,7,0.571,7,7,1,0,1,1,6,2,1,5,5,39,-9,0,FALSE,FALSE,GSW,OKC,2010-11,2011
22010,201939,0021000312,2010-12-07T00:00:00Z,GSW @ DAL,L,42,8,16,0.5,3,5,0.6,2,2,1,1,5,6,4,2,0,6,2,21,-2,0,FALSE,FALSE,GSW,DAL,2010-11,2011
22010,201939,0021000322,2010-12-08T00:00:00Z,GSW @ SAS,L,11,0,2,0,0,0,0,0,0,0,0,1,1,3,0,0,2,2,0,-15,0,FALSE,FALSE,GSW,SAS,2010-11,2011
22010,201939,0021000437,2010-12-25T00:00:00Z,GSW vs. POR,W,29,2,15,0.133,0,5,0,0,0,0,1,3,4,11,0,0,2,2,4,7,0,TRUE,TRUE,GSW,POR,2010-11,2011
22010,201939,0021000454,2010-12-27T00:00:00Z,GSW vs. PHI,W,28,5,13,0.385,4,6,0.667,3,3,1,0,5,5,8,1,0,2,5,17,18,0,TRUE,TRUE,GSW,PHI,2010-11,2011
22010,201939,0021000462,2010-12-29T00:00:00Z,GSW @ ATL,L,29,4,13,0.308,0,3,0,1,1,1,1,4,5,12,0,0,3,2,9,-1,0,FALSE,FALSE,GSW,ATL,2010-11,2011
22010,201939,0021000477,2010-12-31T00:00:00Z,GSW @ CHA,W,36,10,17,0.588,4,5,0.8,0,0,0,0,1,1,3,1,0,3,3,24,6,0,TRUE,FALSE,GSW,CHA,2010-11,2011
22010,201939,0021000486,2011-01-01T00:00:00Z,GSW @ MIA,L,36,7,12,0.583,1,2,0.5,0,0,0,1,1,2,6,3,0,1,5,15,-12,0,FALSE,FALSE,GSW,MIA,2010-11,2011
22010,201939,0021000500,2011-01-03T00:00:00Z,GSW @ ORL,L,35,5,13,0.385,3,6,0.5,2,2,1,0,6,6,5,2,0,5,3,15,-13,0,FALSE,FALSE,GSW,ORL,2010-11,2011
22010,201939,0021000518,2011-01-05T00:00:00Z,GSW @ NOH,W,40,6,11,0.545,1,3,0.333,8,8,1,1,2,3,5,4,0,2,3,21,8,0,TRUE,FALSE,GSW,NOH,2010-11,2011
22010,201939,0021000534,2011-01-07T00:00:00Z,GSW vs. CLE,W,25,4,7,0.571,3,4,0.75,4,4,1,0,2,2,4,2,1,0,2,15,15,0,TRUE,TRUE,GSW,CLE,2010-11,2011
22010,201939,0021000545,2011-01-09T00:00:00Z,GSW @ LAC,L,26,2,13,0.154,0,6,0,4,5,0.8,0,5,5,4,1,0,2,4,8,-13,0,FALSE,FALSE,GSW,LAC,2010-11,2011
22010,201939,0021000571,2011-01-12T00:00:00Z,GSW vs. LAL,L,38,5,12,0.417,1,6,0.167,4,4,1,1,3,4,10,2,0,3,3,15,2,0,FALSE,TRUE,GSW,LAL,2010-11,2011
22010,201939,0021000585,2011-01-14T00:00:00Z,GSW vs. LAC,W,27,7,15,0.467,5,7,0.714,4,4,1,1,3,4,4,1,0,2,2,23,9,0,TRUE,TRUE,GSW,LAC,2010-11,2011
22010,201939,0021000607,2011-01-17T00:00:00Z,GSW vs. NJN,W,23,4,10,0.4,2,5,0.4,3,4,0.75,0,2,2,6,0,1,2,4,13,11,0,TRUE,TRUE,GSW,NJN,2010-11,2011
22010,201939,0021000624,2011-01-19T00:00:00Z,GSW vs. IND,W,33,4,10,0.4,0,3,0,3,3,1,0,4,4,8,2,0,1,1,11,17,0,TRUE,TRUE,GSW,IND,2010-11,2011
22010,201939,0021000638,2011-01-21T00:00:00Z,GSW vs. SAC,W,44,12,21,0.571,3,7,0.429,7,7,1,1,2,3,3,4,0,4,2,34,9,0,TRUE,TRUE,GSW,SAC,2010-11,2011
22010,201939,0021000651,2011-01-22T00:00:00Z,GSW @ LAC,L,41,12,23,0.522,3,9,0.333,5,5,1,2,4,6,8,1,1,2,5,32,9,0,FALSE,FALSE,GSW,LAC,2010-11,2011
22010,201939,0021000662,2011-01-24T00:00:00Z,GSW vs. SAS,L,36,6,15,0.4,2,5,0.4,0,0,0,1,5,6,5,0,1,4,4,14,-4,0,FALSE,TRUE,GSW,SAS,2010-11,2011
22010,201939,0021000677,2011-01-26T00:00:00Z,GSW vs. NOH,L,39,8,13,0.615,1,3,0.333,3,3,1,0,3,3,6,2,0,5,1,20,-4,0,FALSE,TRUE,GSW,NOH,2010-11,2011
22010,201939,0021000691,2011-01-28T00:00:00Z,GSW vs. CHA,L,43,8,12,0.667,4,5,0.8,7,7,1,0,3,3,5,2,0,3,5,27,-3,0,FALSE,TRUE,GSW,CHA,2010-11,2011
22010,201939,0021000707,2011-01-30T00:00:00Z,GSW vs. UTA,W,35,10,18,0.556,3,8,0.375,4,4,1,1,5,6,7,2,1,2,2,27,13,0,TRUE,TRUE,GSW,UTA,2010-11,2011
22010,201939,0021000731,2011-02-03T00:00:00Z,GSW vs. MIL,W,34,6,11,0.545,2,4,0.5,2,2,1,1,4,5,5,1,1,7,2,16,4,0,TRUE,TRUE,GSW,MIL,2010-11,2011
22010,201939,0021000753,2011-02-05T00:00:00Z,GSW vs. CHI,W,44,9,15,0.6,2,4,0.5,3,3,1,1,5,6,8,1,0,2,1,23,14,0,TRUE,TRUE,GSW,CHI,2010-11,2011
22010,201939,0021000765,2011-02-07T00:00:00Z,GSW vs. PHX,L,44,7,17,0.412,0,6,0,1,1,1,0,2,2,8,1,0,5,1,15,-12,0,FALSE,TRUE,GSW,PHX,2010-11,2011
22010,201939,0021000782,2011-02-09T00:00:00Z,GSW vs. DEN,W,29,5,9,0.556,1,3,0.333,2,2,1,0,1,1,2,0,0,3,4,13,-2,0,TRUE,TRUE,GSW,DEN,2010-11,2011
22010,201939,0021000784,2011-02-10T00:00:00Z,GSW @ PHX,L,25,5,9,0.556,2,3,0.667,0,0,0,0,2,2,2,1,0,4,0,12,-26,0,FALSE,FALSE,GSW,PHX,2010-11,2011
22010,201939,0021000811,2011-02-13T00:00:00Z,GSW vs. OKC,W,38,10,18,0.556,2,5,0.4,1,1,1,0,2,2,13,2,0,0,2,23,17,0,TRUE,TRUE,GSW,OKC,2010-11,2011
22010,201939,0021000823,2011-02-15T00:00:00Z,GSW vs. NOH,W,24,5,5,1,3,3,1,1,1,1,0,0,0,8,1,0,3,3,14,13,0,TRUE,TRUE,GSW,NOH,2010-11,2011
